veh_id,ts,lon,lat,speed_kmh,heading_deg,occupied
SIM-T001,2026-05-18 07:00:00,120.300774,31.571605,23.6,300,1
SIM-T001,2026-05-18 07:00:30,120.300721,31.572381,0,15,1
SIM-T001,2026-05-18 07:01:00,120.300793,31.573262,31.1,135,1
SIM-T001,2026-05-18 07:01:30,120.300719,31.574213,43.7,165,1
SIM-T001,2026-05-18 07:02:00,120.300755,31.574998,12.4,45,1
SIM-T001,2026-05-18 07:02:30,120.300717,31.575910,37.2,330,0
SIM-T001,2026-05-18 07:03:00,120.300792,31.576696,0,0,0
SIM-T001,2026-05-18 07:03:30,120.300849,31.577531,47.7,315,0
SIM-T001,2026-05-18 07:04:00,120.300802,31.578436,23.8,300,0
SIM-T001,2026-05-18 07:04:30,120.300823,31.579292,0,15,0
SIM-T001,2026-05-18 07:05:00,120.300795,31.580099,51.6,330,0
SIM-T001,2026-05-18 07:05:30,120.300718,31.581064,32.7,30,1
SIM-T001,2026-05-18 07:06:00,120.300793,31.581917,17.5,315,1
SIM-T001,2026-05-18 07:06:30,120.300824,31.582757,40.9,165,1
SIM-T001,2026-05-18 07:07:00,120.300769,31.583637,46.1,255,1
SIM-T001,2026-05-18 07:07:30,120.300774,31.584517,42.1,150,1
SIM-T002,2026-05-18 07:07:00,120.300986,31.573147,26.9,210,1
SIM-T002,2026-05-18 07:07:30,120.302043,31.573159,17.3,285,1
SIM-T002,2026-05-18 07:08:00,120.303191,31.573030,42.4,150,1
SIM-T002,2026-05-18 07:08:30,120.304228,31.573112,26.3,60,1
SIM-T002,2026-05-18 07:09:00,120.305402,31.573059,45.8,150,1
SIM-T002,2026-05-18 07:09:30,120.306368,31.573123,17.9,225,0
SIM-T002,2026-05-18 07:10:00,120.307535,31.573040,32.2,120,0
SIM-T002,2026-05-18 07:10:30,120.307507,31.573997,0,345,0
SIM-T002,2026-05-18 07:11:00,120.307585,31.574826,43.6,270,0
SIM-T002,2026-05-18 07:11:30,120.307483,31.575692,51.4,195,0
SIM-T002,2026-05-18 07:12:00,120.307555,31.576521,29.4,90,0
SIM-T002,2026-05-18 07:12:30,120.307537,31.577439,0,120,1
SIM-T002,2026-05-18 07:13:00,120.307571,31.578202,42.1,105,1
SIM-T002,2026-05-18 07:13:30,120.308686,31.578313,38.0,255,1
SIM-T002,2026-05-18 07:14:00,120.309676,31.578180,0,135,1
SIM-T002,2026-05-18 07:14:30,120.309781,31.577458,0,120,1
SIM-T003,2026-05-18 07:14:00,120.292462,31.575085,15.6,180,0
SIM-T003,2026-05-18 07:14:30,120.292342,31.576061,32.0,210,0
SIM-T003,2026-05-18 07:15:00,120.292462,31.576908,48.4,60,0
SIM-T003,2026-05-18 07:15:30,120.292406,31.577676,29.2,195,0
SIM-T003,2026-05-18 07:16:00,120.292404,31.578562,49.2,45,0
SIM-T003,2026-05-18 07:16:30,120.292450,31.579366,22.4,165,1
SIM-T003,2026-05-18 07:17:00,120.292334,31.580319,19.3,75,1
SIM-T003,2026-05-18 07:17:30,120.292407,31.581150,32.6,225,1
SIM-T003,2026-05-18 07:18:00,120.292349,31.582070,13.6,285,1
SIM-T003,2026-05-18 07:18:30,120.292427,31.582917,8.9,45,1
SIM-T003,2026-05-18 07:19:00,120.292340,31.583679,10.0,240,1
SIM-T003,2026-05-18 07:19:30,120.292442,31.584606,16.9,330,0
SIM-T003,2026-05-18 07:20:00,120.292463,31.585405,0,45,0
SIM-T003,2026-05-18 07:20:30,120.292402,31.586352,34.8,105,0
SIM-T003,2026-05-18 07:21:00,120.292444,31.587215,35.8,300,0
SIM-T003,2026-05-18 07:21:30,120.292447,31.588014,44.9,15,0
