line_id,bus_id,ts,lon,lat,speed_kmh,next_stop_seq,sched_dev_s
L12,BUS001,2026-05-18 07:00:00,120.289076,31.562975,0,1,-53
L12,BUS001,2026-05-18 07:00:45,120.289040,31.563970,36.4,1,-37
L12,BUS001,2026-05-18 07:01:20,120.288979,31.564976,23.5,1,-44
L12,BUS001,2026-05-18 07:01:55,120.287747,31.565056,31.0,1,-25
L12,BUS001,2026-05-18 07:02:30,120.286411,31.565087,0,2,-35
L12,BUS001,2026-05-18 07:03:15,120.285142,31.564968,34.1,2,-14
L12,BUS001,2026-05-18 07:03:50,120.283825,31.565076,33.5,2,-14
L12,BUS001,2026-05-18 07:04:25,120.282546,31.565106,13.1,2,-24
L12,BUS001,2026-05-18 07:05:00,120.281279,31.565109,0,3,-12
L12,BUS001,2026-05-18 07:05:45,120.279882,31.565007,30.4,3,12
L12,BUS001,2026-05-18 07:06:20,120.278528,31.565118,21.8,3,11
L12,BUS001,2026-05-18 07:06:55,120.277296,31.565060,30.8,3,7
L12,BUS001,2026-05-18 07:07:30,120.276032,31.565094,0,4,11
L12,BUS001,2026-05-18 07:08:15,120.274680,31.565072,12.8,4,31
L12,BUS001,2026-05-18 07:08:50,120.273327,31.565057,32.0,4,25
L12,BUS001,2026-05-18 07:09:25,120.272055,31.565054,24.1,4,16
L12,BUS001,2026-05-18 07:10:00,120.270707,31.565024,0,5,10
L12,BUS001,2026-05-18 07:10:45,120.269431,31.565016,33.0,5,13
L12,BUS001,2026-05-18 07:11:20,120.268203,31.565057,26.5,5,32
L12,BUS001,2026-05-18 07:11:55,120.268206,31.564025,31.3,5,44
L12,BUS002,2026-05-18 07:09:00,120.289047,31.562969,0,1,-48
L12,BUS002,2026-05-18 07:09:45,120.289066,31.563924,27.2,1,-27
L12,BUS002,2026-05-18 07:10:20,120.289028,31.564973,26.4,1,-9
L12,BUS002,2026-05-18 07:10:55,120.287760,31.565096,35.2,1,-14
L12,BUS002,2026-05-18 07:11:30,120.286378,31.565061,0,2,-5
L12,BUS002,2026-05-18 07:12:15,120.285095,31.564947,28.6,2,-13
L12,BUS002,2026-05-18 07:12:50,120.283850,31.565110,12.4,2,-19
L12,BUS002,2026-05-18 07:13:25,120.282558,31.565067,28.2,2,1
L12,BUS002,2026-05-18 07:14:00,120.281227,31.565089,0,3,-9
L12,BUS002,2026-05-18 07:14:45,120.279863,31.564992,32.5,3,-2
L12,BUS002,2026-05-18 07:15:20,120.278576,31.565113,27.7,3,7
L12,BUS002,2026-05-18 07:15:55,120.277303,31.565034,15.4,3,25
L12,BUS002,2026-05-18 07:16:30,120.276042,31.565099,0,4,30
L12,BUS002,2026-05-18 07:17:15,120.274707,31.565093,36.9,4,41
L12,BUS002,2026-05-18 07:17:50,120.273378,31.565077,19.0,4,29
L12,BUS002,2026-05-18 07:18:25,120.272068,31.565098,19.0,4,48
L12,BUS002,2026-05-18 07:19:00,120.270715,31.565016,0,5,54
L12,BUS002,2026-05-18 07:19:45,120.269443,31.565032,32.8,5,76
L12,BUS002,2026-05-18 07:20:20,120.268201,31.565074,29.8,5,83
L12,BUS002,2026-05-18 07:20:55,120.268231,31.563958,17.2,5,90
L12,BUS003,2026-05-18 07:18:00,120.289053,31.563016,0,1,-23
L12,BUS003,2026-05-18 07:18:45,120.289030,31.563930,34.7,1,-33
L12,BUS003,2026-05-18 07:19:20,120.288979,31.564993,21.6,1,-16
L12,BUS003,2026-05-18 07:19:55,120.287776,31.565097,19.1,1,-8
L12,BUS003,2026-05-18 07:20:30,120.286408,31.565096,0,2,-12
L12,BUS003,2026-05-18 07:21:15,120.285128,31.564967,22.7,2,-17
L12,BUS003,2026-05-18 07:21:50,120.283825,31.565120,36.8,2,-28
L12,BUS003,2026-05-18 07:22:25,120.282517,31.565082,32.0,2,-30
L12,BUS003,2026-05-18 07:23:00,120.281215,31.565075,0,3,-29
L12,BUS003,2026-05-18 07:23:45,120.279909,31.565040,36.8,3,-20
L12,BUS003,2026-05-18 07:24:20,120.278544,31.565103,26.0,3,-9
L12,BUS003,2026-05-18 07:24:55,120.277297,31.564995,20.1,3,-4
L12,BUS003,2026-05-18 07:25:30,120.276030,31.565079,0,4,0
L12,BUS003,2026-05-18 07:26:15,120.274654,31.565095,21.1,4,23
L12,BUS003,2026-05-18 07:26:50,120.273342,31.565060,34.9,4,27
L12,BUS003,2026-05-18 07:27:25,120.272116,31.565062,13.6,4,34
L12,BUS003,2026-05-18 07:28:00,120.270776,31.565005,0,5,43
L12,BUS003,2026-05-18 07:28:45,120.269443,31.565007,14.7,5,42
L12,BUS003,2026-05-18 07:29:20,120.268208,31.565117,29.2,5,32
L12,BUS003,2026-05-18 07:29:55,120.268193,31.564014,32.0,5,37
