plate_hash,ts,lon,lat,speed_kmh,load_state,alarm_code
HASH4AF22,2026-05-18 07:00:00,120.302642,31.573462,0,empty,
HASH4AF22,2026-05-18 07:05:00,120.302642,31.573462,0,empty,
HASH4AF22,2026-05-18 07:10:00,120.302642,31.573462,0,empty,
HASH4AF22,2026-05-18 07:15:00,120.302642,31.573462,0,empty,
HASH4AF22,2026-05-18 07:20:00,120.302642,31.573462,0,empty,
HASH4AF22,2026-05-18 07:25:00,120.302642,31.573462,0,empty,
HASH4AF22,2026-05-18 07:30:00,120.321642,31.579462,82.3,loaded,
HASH4AF22,2026-05-18 07:33:00,120.340642,31.585462,90.9,loaded,OVERSPEED
HASH4AF22,2026-05-18 07:36:00,120.359642,31.591462,75.3,loaded,
HASH4AF22,2026-05-18 07:39:00,120.378642,31.597462,79.4,loaded,
HASH4AF22,2026-05-18 07:42:00,120.397642,31.603462,90.9,loaded,OVERSPEED
HASH4AF22,2026-05-18 07:45:00,120.416642,31.609462,89.5,loaded,
HASH4AF22,2026-05-18 07:48:00,120.435642,31.615462,92.7,loaded,OVERSPEED
HASH4AF22,2026-05-18 07:51:00,120.454642,31.621462,68.7,loaded,
HASH4AF22,2026-05-18 07:54:00,120.473642,31.627462,65.8,loaded,
HASH4AF22,2026-05-18 07:57:00,120.492642,31.633462,94.3,loaded,OVERSPEED
HASH4AF22,2026-05-18 08:00:00,120.511642,31.639462,88.4,loaded,
HASH4AF22,2026-05-18 08:03:00,120.530642,31.645462,62.6,loaded,
HASH4AF22,2026-05-18 08:06:00,120.549642,31.651462,94.5,loaded,OVERSPEED
HASH4AF22,2026-05-18 08:09:00,120.568642,31.657462,68.4,loaded,
HASH4AF22,2026-05-18 08:12:00,120.568642,31.657462,0,loaded,LONG_PARK
HASH4AF22,2026-05-18 08:18:00,120.568642,31.657462,0,loaded,LONG_PARK
HASH4AF22,2026-05-18 08:24:00,120.568642,31.657462,0,loaded,LONG_PARK
HASH4AF22,2026-05-18 08:30:00,120.568642,31.657462,0,loaded,LONG_PARK
HASH4AF22,2026-05-18 08:36:00,120.568642,31.657462,0,loaded,LONG_PARK
HASHB0401,2026-05-18 08:00:00,120.287329,31.551609,0,empty,
HASHB0401,2026-05-18 08:05:00,120.287329,31.551609,0,empty,
HASHB0401,2026-05-18 08:10:00,120.287329,31.551609,0,empty,
HASHB0401,2026-05-18 08:15:00,120.287329,31.551609,0,empty,
HASHB0401,2026-05-18 08:20:00,120.287329,31.551609,0,empty,
HASHB0401,2026-05-18 08:25:00,120.287329,31.551609,0,empty,
HASHB0401,2026-05-18 08:30:00,120.306329,31.557609,90.1,loaded,OVERSPEED
HASHB0401,2026-05-18 08:33:00,120.325329,31.563609,63.5,loaded,
HASHB0401,2026-05-18 08:36:00,120.344329,31.569609,66.3,loaded,
HASHB0401,2026-05-18 08:39:00,120.363329,31.575609,81.2,loaded,
HASHB0401,2026-05-18 08:42:00,120.382329,31.581609,63.7,loaded,
HASHB0401,2026-05-18 08:45:00,120.401329,31.587609,86.8,loaded,
HASHB0401,2026-05-18 08:48:00,120.420329,31.593609,89.7,loaded,
HASHB0401,2026-05-18 08:51:00,120.439329,31.599609,69.2,loaded,
HASHB0401,2026-05-18 08:54:00,120.458329,31.605609,84.5,loaded,
HASHB0401,2026-05-18 08:57:00,120.477329,31.611609,89.8,loaded,
HASHB0401,2026-05-18 09:00:00,120.496329,31.617609,89.9,loaded,
HASHB0401,2026-05-18 09:03:00,120.515329,31.623609,79.9,loaded,
HASHB0401,2026-05-18 09:06:00,120.534329,31.629609,63.1,loaded,
HASHB0401,2026-05-18 09:09:00,120.553329,31.635609,73.0,loaded,
HASHB0401,2026-05-18 09:12:00,120.553329,31.635609,0,loaded,LONG_PARK
HASHB0401,2026-05-18 09:18:00,120.553329,31.635609,0,loaded,LONG_PARK
HASHB0401,2026-05-18 09:24:00,120.553329,31.635609,0,loaded,LONG_PARK
HASHB0401,2026-05-18 09:30:00,120.553329,31.635609,0,loaded,LONG_PARK
HASHB0401,2026-05-18 09:36:00,120.553329,31.635609,0,loaded,LONG_PARK
