bike_id,ts,lon,lat,speed_kmh,battery_pct,in_fence
EB83807,2026-05-18 07:00:00,120.303006,31.565280,11.1,70,1
EB83807,2026-05-18 07:00:15,120.303003,31.565522,14.0,70,1
EB83807,2026-05-18 07:00:30,120.302930,31.565919,7.6,69,1
EB83807,2026-05-18 07:00:45,120.302954,31.566117,8.1,67,1
EB83807,2026-05-18 07:01:00,120.302609,31.566181,19.6,67,1
EB83807,2026-05-18 07:01:15,120.302113,31.566147,4.5,65,1
EB83807,2026-05-18 07:01:30,120.301829,31.566190,5.8,65,1
EB83807,2026-05-18 07:01:45,120.301386,31.566247,15.6,65,1
EB83807,2026-05-18 07:02:00,120.300963,31.566129,15.7,65,1
EB83807,2026-05-18 07:02:15,120.300616,31.566245,12.1,64,0
EB83807,2026-05-18 07:02:30,120.300200,31.566132,19.0,64,0
EB83807,2026-05-18 07:02:45,120.300237,31.566450,12.1,64,1
EB83807,2026-05-18 07:03:00,120.300193,31.566766,21.3,63,1
EB83807,2026-05-18 07:03:15,120.299732,31.566775,15.2,62,1
EB45028,2026-05-18 07:06:00,120.300448,31.569019,8.7,72,1
EB45028,2026-05-18 07:06:15,120.300477,31.568660,15.3,72,1
EB45028,2026-05-18 07:06:30,120.300031,31.568638,11.1,72,1
EB45028,2026-05-18 07:06:45,120.300149,31.569024,10.5,70,1
EB45028,2026-05-18 07:07:00,120.300035,31.569253,5.8,70,1
EB45028,2026-05-18 07:07:15,120.300059,31.569576,21.5,68,1
EB45028,2026-05-18 07:07:30,120.300421,31.569652,5.7,66,1
EB45028,2026-05-18 07:07:45,120.300892,31.569665,19.5,66,1
EB45028,2026-05-18 07:08:00,120.301332,31.569650,12.7,64,1
EB45028,2026-05-18 07:08:15,120.301262,31.569851,5.5,63,0
EB45028,2026-05-18 07:08:30,120.301269,31.570264,13.5,63,0
EB45028,2026-05-18 07:08:45,120.301291,31.570586,18.1,62,1
EB45028,2026-05-18 07:09:00,120.300889,31.570513,20.6,60,1
EB45028,2026-05-18 07:09:15,120.300916,31.570831,12.1,60,1
EB42558,2026-05-18 07:12:00,120.304637,31.570909,9.8,91,1
EB42558,2026-05-18 07:12:15,120.304634,31.570606,6.2,90,1
EB42558,2026-05-18 07:12:30,120.304642,31.570318,14.0,89,1
EB42558,2026-05-18 07:12:45,120.304626,31.570072,18.8,88,1
EB42558,2026-05-18 07:13:00,120.304201,31.570030,14.0,86,1
EB42558,2026-05-18 07:13:15,120.304200,31.570329,4.5,85,1
EB42558,2026-05-18 07:13:30,120.304210,31.570603,9.7,84,1
EB42558,2026-05-18 07:13:45,120.304228,31.570929,8.8,83,1
EB42558,2026-05-18 07:14:00,120.304283,31.571353,18.9,83,1
EB42558,2026-05-18 07:14:15,120.304214,31.571621,13.3,81,0
EB42558,2026-05-18 07:14:30,120.304245,31.571855,15.1,80,0
EB42558,2026-05-18 07:14:45,120.304680,31.571942,9.9,78,1
EB42558,2026-05-18 07:15:00,120.304627,31.571628,21.8,77,1
EB42558,2026-05-18 07:15:15,120.304629,31.571323,17.8,75,1
