order_id,bike_id,start_time,start_lon,start_lat,end_time,end_lon,end_lat,duration_s,distance_m
BK20260518000,MB436478,2026-05-18 07:26:00,120.294379,31.556411,2026-05-18 07:48:46,120.294539,31.548915,1366,1015
BK20260518001,MB227173,2026-05-18 08:15:00,120.296340,31.584816,2026-05-18 08:42:37,120.301106,31.578411,1657,1044
BK20260518002,MB510280,2026-05-18 08:08:00,120.298182,31.564744,2026-05-18 08:15:09,120.302246,31.571348,429,1040
BK20260518003,MB570683,2026-05-18 08:29:00,120.281008,31.581086,2026-05-18 08:43:32,120.287443,31.583009,872,860
BK20260518004,MB905781,2026-05-18 09:22:00,120.303827,31.573025,2026-05-18 09:43:20,120.299002,31.577428,1280,788
BK20260518005,MB822374,2026-05-18 07:44:00,120.299242,31.580709,2026-05-18 07:47:17,120.290706,31.579877,197,1161
BK20260518006,MB313600,2026-05-18 09:56:00,120.287880,31.588318,2026-05-18 10:15:29,120.285485,31.581881,1169,950
BK20260518007,MB426641,2026-05-18 08:38:00,120.317648,31.562477,2026-05-18 09:04:56,120.305780,31.564852,1616,1669
BK20260518008,MB918809,2026-05-18 08:30:00,120.286921,31.551070,2026-05-18 08:42:50,120.297607,31.560331,770,1803
BK20260518009,MB922579,2026-05-18 08:13:00,120.300076,31.558705,2026-05-18 08:34:07,120.295979,31.555723,1267,728
BK20260518010,MB249495,2026-05-18 07:42:00,120.296624,31.559074,2026-05-18 07:54:12,120.304498,31.561255,732,991
BK20260518011,MB564956,2026-05-18 08:25:00,120.319415,31.554486,2026-05-18 08:40:33,120.330654,31.553428,933,1507
BK20260518012,MB850756,2026-05-18 08:17:00,120.302476,31.573380,2026-05-18 08:41:56,120.292791,31.568705,1496,1483
BK20260518013,MB753038,2026-05-18 07:11:00,120.298779,31.568206,2026-05-18 07:37:54,120.310215,31.559954,1614,2046
BK20260518014,MB524248,2026-05-18 09:06:00,120.299211,31.582157,2026-05-18 09:28:53,120.289941,31.572879,1373,1833
BK20260518015,MB526612,2026-05-18 08:35:00,120.294842,31.551315,2026-05-18 09:00:22,120.292879,31.543783,1522,1026
BK20260518016,MB768608,2026-05-18 07:27:00,120.297401,31.550129,2026-05-18 07:37:23,120.295330,31.553125,623,455
BK20260518017,MB379098,2026-05-18 08:24:00,120.284636,31.565654,2026-05-18 08:30:08,120.272974,31.556234,368,1832
BK20260518018,MB861603,2026-05-18 07:26:00,120.292059,31.588064,2026-05-18 07:50:07,120.302467,31.596426,1447,1693
BK20260518019,MB385866,2026-05-18 07:42:00,120.293399,31.574999,2026-05-18 08:00:51,120.284572,31.578719,1131,1144
BK20260518020,MB627400,2026-05-18 09:27:00,120.317656,31.570611,2026-05-18 09:57:51,120.312909,31.562519,1851,1296
BK20260518021,MB982049,2026-05-18 08:16:00,120.294199,31.568037,2026-05-18 08:29:17,120.300106,31.572220,797,900
BK20260518022,MB667217,2026-05-18 08:42:00,120.284855,31.556827,2026-05-18 09:06:58,120.292431,31.552530,1498,1074
BK20260518023,MB584886,2026-05-18 07:13:00,120.303200,31.552527,2026-05-18 07:24:14,120.293437,31.544212,674,1889
BK20260518024,MB233780,2026-05-18 07:53:00,120.317732,31.576426,2026-05-18 08:03:14,120.311320,31.576799,614,710
BK20260518025,MB934641,2026-05-18 07:54:00,120.285668,31.563374,2026-05-18 08:16:06,120.280599,31.554069,1326,1433
BK20260518026,MB660392,2026-05-18 07:05:00,120.300248,31.572150,2026-05-18 07:30:42,120.294335,31.579860,1542,1293
BK20260518027,MB555555,2026-05-18 09:24:00,120.302754,31.572260,2026-05-18 09:30:46,120.308839,31.570146,406,846
