trip_id,start_station_id,start_station_name,start_time,end_station_id,end_station_name,end_time,member_type
DT9000,ST003,地铁二号线A口,2026-05-18 09:41:00,ST006,人民路口,2026-05-18 09:45:21,annual
DT9001,ST003,地铁二号线A口,2026-05-18 09:39:00,ST007,科技园东,2026-05-18 09:53:38,annual
DT9002,ST007,科技园东,2026-05-18 08:52:00,ST002,文化广场,2026-05-18 09:03:19,annual
DT9003,ST002,文化广场,2026-05-18 07:41:00,ST004,滨湖公园北,2026-05-18 07:51:17,annual
DT9004,ST007,科技园东,2026-05-18 10:14:00,ST002,文化广场,2026-05-18 10:20:53,annual
DT9005,ST006,人民路口,2026-05-18 09:47:00,ST007,科技园东,2026-05-18 09:52:49,casual
DT9006,ST004,滨湖公园北,2026-05-18 10:19:00,ST001,体育中心西门,2026-05-18 10:28:52,annual
DT9007,ST006,人民路口,2026-05-18 08:53:00,ST008,医院正门,2026-05-18 09:12:40,annual
DT9008,ST004,滨湖公园北,2026-05-18 07:14:00,ST002,文化广场,2026-05-18 07:29:50,annual
DT9009,ST001,体育中心西门,2026-05-18 07:15:00,ST008,医院正门,2026-05-18 07:29:59,annual
DT9010,ST001,体育中心西门,2026-05-18 09:35:00,ST005,大学城南门,2026-05-18 09:55:57,casual
DT9011,ST004,滨湖公园北,2026-05-18 09:53:00,ST006,人民路口,2026-05-18 10:07:31,casual
DT9012,ST004,滨湖公园北,2026-05-18 07:26:00,ST001,体育中心西门,2026-05-18 07:43:15,annual
DT9013,ST005,大学城南门,2026-05-18 09:45:00,ST006,人民路口,2026-05-18 10:06:53,casual
DT9014,ST007,科技园东,2026-05-18 09:58:00,ST003,地铁二号线A口,2026-05-18 10:19:11,casual
DT9015,ST003,地铁二号线A口,2026-05-18 07:14:00,ST004,滨湖公园北,2026-05-18 07:18:23,annual
DT9016,ST006,人民路口,2026-05-18 10:14:00,ST007,科技园东,2026-05-18 10:33:00,annual
DT9017,ST004,滨湖公园北,2026-05-18 07:30:00,ST005,大学城南门,2026-05-18 07:47:01,casual
DT9018,ST001,体育中心西门,2026-05-18 08:12:00,ST002,文化广场,2026-05-18 08:34:49,annual
DT9019,ST005,大学城南门,2026-05-18 07:37:00,ST002,文化广场,2026-05-18 07:56:06,casual
DT9020,ST005,大学城南门,2026-05-18 09:05:00,ST001,体育中心西门,2026-05-18 09:09:43,annual
DT9021,ST004,滨湖公园北,2026-05-18 07:18:00,ST008,医院正门,2026-05-18 07:30:23,annual
DT9022,ST008,医院正门,2026-05-18 09:56:00,ST001,体育中心西门,2026-05-18 10:04:03,casual
DT9023,ST002,文化广场,2026-05-18 10:15:00,ST008,医院正门,2026-05-18 10:35:31,annual
DT9024,ST001,体育中心西门,2026-05-18 07:53:00,ST006,人民路口,2026-05-18 08:02:47,casual
DT9025,ST007,科技园东,2026-05-18 08:04:00,ST008,医院正门,2026-05-18 08:14:13,annual
