trip_id,pickup_time,dropoff_time,pu_lon,pu_lat,do_lon,do_lat,trip_dist_km,fare_cny,passenger_cnt,payment_type
MT7000,2026-05-18 07:39:00,2026-05-18 08:03:13,120.321272,31.579693,120.315126,31.601012,14.0,49.2,1,cash
MT7001,2026-05-18 09:02:00,2026-05-18 09:12:14,120.317288,31.550808,120.344567,31.567412,2.43,19.5,3,card
MT7002,2026-05-18 08:54:00,2026-05-18 09:12:24,120.323567,31.566479,120.296569,31.573413,2.45,22.1,1,cash
MT7003,2026-05-18 10:55:00,2026-05-18 11:27:59,120.290211,31.578382,120.282509,31.588373,6.34,30.1,2,cash
MT7004,2026-05-18 09:25:00,2026-05-18 09:47:33,120.284105,31.554027,120.259232,31.576659,15.85,49.2,2,cash
MT7005,2026-05-18 09:39:00,2026-05-18 10:10:40,120.288014,31.573683,120.265003,31.580161,1.33,16.0,3,qr
MT7006,2026-05-18 07:53:00,2026-05-18 08:14:32,120.309899,31.589041,120.287343,31.586655,15.16,49.1,1,qr
MT7007,2026-05-18 09:46:00,2026-05-18 10:01:01,120.311274,31.570205,120.320821,31.581223,1.63,16.7,1,qr
MT7008,2026-05-18 08:34:00,2026-05-18 08:51:19,120.290609,31.548579,120.285555,31.542552,3.15,22.4,1,qr
MT7009,2026-05-18 10:28:00,2026-05-18 10:47:36,120.297130,31.589065,120.289511,31.599006,3.76,22.7,2,qr
MT7010,2026-05-18 07:07:00,2026-05-18 07:16:21,120.287378,31.564361,120.288441,31.573109,6.05,30.2,3,qr
MT7011,2026-05-18 09:12:00,2026-05-18 09:18:41,120.291884,31.567239,120.293474,31.564680,16.64,56.3,1,card
MT7012,2026-05-18 08:02:00,2026-05-18 08:26:42,120.318076,31.553091,120.303506,31.565930,6.13,29.3,3,cash
MT7013,2026-05-18 08:27:00,2026-05-18 09:03:04,120.313622,31.559694,120.337076,31.560697,4.74,25.4,3,qr
MT7014,2026-05-18 09:42:00,2026-05-18 09:50:32,120.296138,31.548313,120.294024,31.536183,4.33,23.0,2,qr
MT7015,2026-05-18 10:59:00,2026-05-18 11:08:39,120.316132,31.571186,120.296189,31.586291,10.81,39.1,1,qr
MT7016,2026-05-18 08:26:00,2026-05-18 08:54:22,120.301854,31.555439,120.322359,31.537850,2.31,20.9,3,qr
MT7017,2026-05-18 08:59:00,2026-05-18 09:32:13,120.306074,31.553227,120.281674,31.537341,17.17,56.3,1,qr
MT7018,2026-05-18 10:59:00,2026-05-18 11:30:39,120.277055,31.574471,120.278998,31.556622,13.24,46.1,2,qr
MT7019,2026-05-18 07:13:00,2026-05-18 07:50:55,120.309242,31.552996,120.321089,31.557195,7.17,29.9,3,qr
MT7020,2026-05-18 10:22:00,2026-05-18 10:34:16,120.290035,31.546271,120.268190,31.522456,1.93,17.7,2,cash
MT7021,2026-05-18 08:47:00,2026-05-18 08:54:59,120.294689,31.564965,120.300654,31.544542,15.99,49.7,1,card
MT7022,2026-05-18 07:54:00,2026-05-18 07:59:16,120.307399,31.591890,120.284192,31.575200,15.01,49.5,1,qr
MT7023,2026-05-18 07:56:00,2026-05-18 08:31:41,120.291938,31.558771,120.271406,31.578175,17.58,57.7,1,qr
MT7024,2026-05-18 10:21:00,2026-05-18 10:31:26,120.319875,31.593374,120.333226,31.601368,1.27,17.1,2,cash
MT7025,2026-05-18 07:21:00,2026-05-18 07:26:47,120.282888,31.558894,120.275217,31.582297,9.92,38.0,3,card
