card_hash,in_station,in_time,out_station,out_time,fare_cny,card_type
C95D9C9,火车站,2026-05-18 08:36:00,三阳广场,2026-05-18 09:22:00,6.1,senior
C85BD02,三阳广场,2026-05-18 09:59:00,会展中心,2026-05-18 10:39:00,5.6,student
C0DD6D0,中山路,2026-05-18 09:17:00,南禅寺,2026-05-18 09:33:00,3.4,normal
C56419A,太湖广场,2026-05-18 08:48:00,大学城,2026-05-18 09:13:00,4.2,normal
C5ED3C7,会展中心,2026-05-18 07:31:00,南禅寺,2026-05-18 08:14:00,5.9,normal
C13EBD8,大学城,2026-05-18 09:31:00,中山路,2026-05-18 10:02:00,4.8,senior
C4045A8,机场,2026-05-18 10:13:00,体育中心,2026-05-18 10:29:00,3.4,student
CE0CB47,会展中心,2026-05-18 08:05:00,三阳广场,2026-05-18 08:36:00,4.8,senior
CF99E6C,南禅寺,2026-05-18 09:36:00,火车站,2026-05-18 09:55:00,3.7,normal
C1F9744,会展中心,2026-05-18 09:55:00,体育中心,2026-05-18 10:18:00,4.1,student
CD9D80F,中山路,2026-05-18 08:35:00,体育中心,2026-05-18 09:18:00,5.9,senior
CFF119B,体育中心,2026-05-18 08:17:00,中山路,2026-05-18 08:35:00,3.6,normal
C74B1DA,三阳广场,2026-05-18 08:54:00,火车站,2026-05-18 09:34:00,5.6,student
C4FB7A0,大学城,2026-05-18 07:11:00,中山路,2026-05-18 07:52:00,5.7,student
CDF9A7F,大学城,2026-05-18 09:07:00,中山路,2026-05-18 09:51:00,6.0,senior
C348D66,太湖广场,2026-05-18 08:38:00,体育中心,2026-05-18 09:24:00,6.1,student
C8FF906,火车站,2026-05-18 08:54:00,中山路,2026-05-18 09:04:00,2.9,student
C391169,三阳广场,2026-05-18 09:59:00,中山路,2026-05-18 10:24:00,4.2,senior
C19797D,大学城,2026-05-18 09:08:00,机场,2026-05-18 09:35:00,4.4,normal
C87C384,三阳广场,2026-05-18 07:40:00,太湖广场,2026-05-18 08:18:00,5.4,senior
CBBE0FF,太湖广场,2026-05-18 07:15:00,体育中心,2026-05-18 07:46:00,4.8,normal
CB2F123,南禅寺,2026-05-18 10:14:00,体育中心,2026-05-18 11:02:00,6.3,normal
C0F2B3B,大学城,2026-05-18 07:42:00,机场,2026-05-18 07:50:00,2.7,senior
C29DC0C,中山路,2026-05-18 07:28:00,三阳广场,2026-05-18 07:34:00,2.5,senior
C75B9BC,体育中心,2026-05-18 08:25:00,火车站,2026-05-18 09:10:00,6.0,normal
CF7D8C9,南禅寺,2026-05-18 08:13:00,大学城,2026-05-18 08:36:00,4.1,senior
C5E3E77,南禅寺,2026-05-18 08:31:00,三阳广场,2026-05-18 08:57:00,4.3,senior
CDBFA97,大学城,2026-05-18 09:21:00,太湖广场,2026-05-18 09:54:00,5.0,normal
CEEB879,机场,2026-05-18 08:35:00,中山路,2026-05-18 08:48:00,3.2,normal
C8B13F0,体育中心,2026-05-18 07:07:00,太湖广场,2026-05-18 07:21:00,3.3,normal
