card_hash,line_id,bus_id,board_time,board_stop_id,board_stop_name,transfer_flag
CFE9DB9,L25,BUS022,2026-05-18 07:26:00,S006,县前东街,1
CB4F4EB,L12,BUS008,2026-05-18 07:36:00,S005,崇安寺,0
C91E544,L88,BUS035,2026-05-18 07:36:00,S004,工人文化宫,0
C73E38C,L88,BUS008,2026-05-18 08:24:00,S002,青石桥,0
C3B5E1E,L88,BUS016,2026-05-18 09:05:00,S001,建筑路,0
C592DE5,L12,BUS035,2026-05-18 07:35:00,S001,建筑路,0
CF03B9B,L88,BUS035,2026-05-18 10:09:00,S005,崇安寺,0
CA026D5,L25,BUS016,2026-05-18 08:19:00,S005,崇安寺,1
CBD28A2,L12,BUS020,2026-05-18 08:23:00,S005,崇安寺,0
CBFBFF9,L88,BUS017,2026-05-18 07:14:00,S006,县前东街,0
C91849F,L25,BUS003,2026-05-18 08:11:00,S003,梁溪大桥,0
CB74C92,L88,BUS037,2026-05-18 07:44:00,S002,青石桥,0
C048FEB,L88,BUS001,2026-05-18 07:13:00,S005,崇安寺,0
CF04EA8,L88,BUS019,2026-05-18 09:43:00,S002,青石桥,0
C398455,L25,BUS009,2026-05-18 10:04:00,S006,县前东街,0
CECC5D6,L12,BUS012,2026-05-18 09:43:00,S005,崇安寺,0
C997B86,L12,BUS001,2026-05-18 07:46:00,S001,建筑路,0
C12BA9D,L25,BUS039,2026-05-18 07:33:00,S002,青石桥,1
CA0A921,L12,BUS003,2026-05-18 08:38:00,S006,县前东街,1
C749ACF,L12,BUS010,2026-05-18 09:39:00,S006,县前东街,0
C6F74B3,L12,BUS012,2026-05-18 07:55:00,S006,县前东街,1
CE321B5,L25,BUS012,2026-05-18 09:16:00,S006,县前东街,0
C67FFD1,L12,BUS035,2026-05-18 08:16:00,S001,建筑路,1
CED99B6,L12,BUS036,2026-05-18 09:51:00,S001,建筑路,0
C8540F4,L12,BUS016,2026-05-18 07:48:00,S001,建筑路,0
C3551B2,L88,BUS016,2026-05-18 07:57:00,S006,县前东街,0
CEAD175,L25,BUS040,2026-05-18 08:13:00,S003,梁溪大桥,1
CBD44ED,L88,BUS028,2026-05-18 08:07:00,S003,梁溪大桥,0
