detector_id,link_id,ts_5min,volume_veh,occupancy_pct,avg_speed_kmh,quality_flag
DET001,LK2000,2026-05-18 07:00:00,50,25.2,44.5,OK
DET001,LK2000,2026-05-18 07:05:00,40,15.6,53.9,OK
DET001,LK2000,2026-05-18 07:10:00,51,24.8,51.9,OK
DET001,LK2000,2026-05-18 07:15:00,33,16.0,55.9,OK
DET001,LK2000,2026-05-18 07:20:00,62,37.8,39.7,OK
DET001,LK2000,2026-05-18 07:25:00,53,29.8,42.4,OK
DET001,LK2000,2026-05-18 07:30:00,58,29.5,44.4,OK
DET001,LK2000,2026-05-18 07:35:00,43,29.1,45.3,OK
DET001,LK2000,2026-05-18 07:40:00,45,19.2,53.8,OK
DET001,LK2000,2026-05-18 07:45:00,36,20.4,52.6,OK
DET001,LK2000,2026-05-18 07:50:00,49,22.7,45.9,OK
DET001,LK2000,2026-05-18 07:55:00,48,32.6,46.3,OK
DET001,LK2000,2026-05-18 08:00:00,106,57.9,29.1,OK
DET001,LK2000,2026-05-18 08:05:00,71,29.8,49.5,OK
DET001,LK2000,2026-05-18 08:10:00,101,43.2,37.2,OK
DET001,LK2000,2026-05-18 08:15:00,68,41.4,41.7,OK
DET002,LK2001,2026-05-18 07:00:00,33,11.7,55.4,OK
DET002,LK2001,2026-05-18 07:05:00,27,13.8,54.4,OK
DET002,LK2001,2026-05-18 07:10:00,61,33.9,43.2,OK
DET002,LK2001,2026-05-18 07:15:00,41,19.4,50.9,OK
DET002,LK2001,2026-05-18 07:20:00,36,13.1,55.0,OK
DET002,LK2001,2026-05-18 07:25:00,35,21.8,48.2,OK
DET002,LK2001,2026-05-18 07:30:00,38,15.9,56.0,OK
DET002,LK2001,2026-05-18 07:35:00,53,27.0,49.8,OK
DET002,LK2001,2026-05-18 07:40:00,58,36.1,39.0,OK
DET002,LK2001,2026-05-18 07:45:00,,,,MISSING
DET002,LK2001,2026-05-18 07:50:00,24,16.4,52.0,OK
DET002,LK2001,2026-05-18 07:55:00,63,30.3,43.4,OK
DET002,LK2001,2026-05-18 08:00:00,110,56.8,33.3,OK
DET002,LK2001,2026-05-18 08:05:00,64,27.6,50.2,OK
DET002,LK2001,2026-05-18 08:10:00,118,48.1,34.1,OK
DET002,LK2001,2026-05-18 08:15:00,119,59.0,32.6,OK
DET003,LK2002,2026-05-18 07:00:00,27,14.1,54.0,OK
DET003,LK2002,2026-05-18 07:05:00,26,15.2,54.0,OK
DET003,LK2002,2026-05-18 07:10:00,41,28.4,47.4,OK
DET003,LK2002,2026-05-18 07:15:00,22,11.7,54.6,OK
DET003,LK2002,2026-05-18 07:20:00,46,23.2,49.3,OK
DET003,LK2002,2026-05-18 07:25:00,51,25.0,46.4,OK
DET003,LK2002,2026-05-18 07:30:00,60,29.1,46.7,OK
DET003,LK2002,2026-05-18 07:35:00,30,10.8,55.4,OK
DET003,LK2002,2026-05-18 07:40:00,31,21.7,52.8,OK
DET003,LK2002,2026-05-18 07:45:00,38,13.8,53.9,OK
DET003,LK2002,2026-05-18 07:50:00,24,11.4,54.0,OK
DET003,LK2002,2026-05-18 07:55:00,25,17.1,51.0,OK
DET003,LK2002,2026-05-18 08:00:00,57,26.7,48.9,OK
DET003,LK2002,2026-05-18 08:05:00,102,43.6,37.6,OK
DET003,LK2002,2026-05-18 08:10:00,83,56.5,29.0,OK
DET003,LK2002,2026-05-18 08:15:00,90,62.0,24.3,OK
