plate_hash,gantry_id,pass_time,lane,speed_kmh,confidence,vehicle_type
P882A8,G01,2026-05-18 07:20:00,1,56.4,0.92,car
P882A8,G02,2026-05-18 07:24:00,1,59.7,0.96,truck
PD2296,G02,2026-05-18 07:18:00,2,51.6,0.76,truck
PD2296,G03,2026-05-18 07:27:00,1,66.8,0.97,truck
PD2296,G04,2026-05-18 07:32:00,3,70.4,0.98,bus
PA7C63,G01,2026-05-18 07:22:00,1,41.8,0.74,bus
PA7C63,G02,2026-05-18 07:26:00,1,51.4,0.72,car
P9C67A,G02,2026-05-18 07:42:00,3,75.7,0.85,car
P9C67A,G03,2026-05-18 07:46:00,3,60.0,0.92,car
P9C67A,G04,2026-05-18 07:55:00,1,43.6,0.8,car
P9C67A,G05,2026-05-18 08:04:00,3,74.0,0.91,bus
P6A211,G01,2026-05-18 07:42:00,1,71.8,0.94,truck
P6A211,G02,2026-05-18 07:48:00,1,83.3,0.73,car
P992A3,G02,2026-05-18 07:08:00,1,78.7,0.96,car
P992A3,G03,2026-05-18 07:12:00,1,59.1,0.9,car
P53FD7,G01,2026-05-18 07:11:00,3,77.8,0.76,car
P53FD7,G02,2026-05-18 07:14:00,1,50.1,0.81,car
P53FD7,G05,2026-05-18 07:23:00,3,60.3,0.88,car
PC4DFE,G01,2026-05-18 07:00:00,3,41.3,0.78,car
PC4DFE,G02,2026-05-18 07:07:00,3,67.4,0.8,truck
PC4DFE,G03,2026-05-18 07:13:00,2,62.9,0.83,truck
