obu_hash,gantry_id,pass_time,vehicle_class,toll_cny,province
OBUA316C,GT3100,2026-05-18 08:07:00,k1,20.44,浙
OBUA316C,GT3101,2026-05-18 08:43:00,h2,21.11,苏
OBUF40AF,GT3100,2026-05-18 07:41:00,k1,20.7,苏
OBUF40AF,GT3101,2026-05-18 08:19:00,k1,24.4,浙
OBU379E3,GT3100,2026-05-18 08:42:00,k1,29.52,皖
OBU379E3,GT3101,2026-05-18 09:14:00,k2,11.02,苏
OBU379E3,GT3102,2026-05-18 09:33:00,k1,26.26,浙
OBU379E3,GT3103,2026-05-18 10:09:00,k2,26.86,浙
OBU6E9F6,GT3100,2026-05-18 08:17:00,k2,11.39,苏
OBU6E9F6,GT3101,2026-05-18 08:28:00,k1,7.67,苏
OBU6E9F6,GT3102,2026-05-18 08:53:00,k1,4.55,皖
OBU6E9F6,GT3103,2026-05-18 09:04:00,h2,37.72,浙
OBUBDECF,GT3100,2026-05-18 08:42:00,k1,7.72,浙
OBUBDECF,GT3101,2026-05-18 09:16:00,k1,37.86,苏
OBUBDECF,GT3102,2026-05-18 09:55:00,k1,22.13,苏
OBUEF20D,GT3100,2026-05-18 08:10:00,k1,35.55,苏
OBUEF20D,GT3101,2026-05-18 08:21:00,k2,5.72,苏
OBUEF20D,GT3102,2026-05-18 08:32:00,k1,10.69,苏
OBUEF20D,GT3103,2026-05-18 08:45:00,k2,37.8,苏
OBU232B6,GT3100,2026-05-18 08:07:00,k2,22.38,苏
OBU232B6,GT3101,2026-05-18 08:28:00,k2,13.82,苏
OBU232B6,GT3102,2026-05-18 08:50:00,k2,39.02,浙
OBU908FF,GT3100,2026-05-18 08:03:00,k1,31.79,苏
OBU908FF,GT3101,2026-05-18 08:19:00,k1,16.14,苏
OBU908FF,GT3102,2026-05-18 08:42:00,k2,14.44,浙
OBU908FF,GT3103,2026-05-18 09:03:00,k1,33.81,浙
OBUE5F62,GT3100,2026-05-18 07:17:00,k1,29.58,苏
OBUE5F62,GT3101,2026-05-18 07:43:00,k2,38.58,皖
