link_id,ts_5min,speed_kmh,free_flow_kmh,congestion_idx,sample_cnt
LK5000,2026-05-18 07:00:00,65.5,80,1.22,111
LK5000,2026-05-18 07:05:00,59.9,80,1.34,84
LK5000,2026-05-18 07:10:00,60.8,80,1.32,121
LK5000,2026-05-18 07:15:00,62.9,80,1.27,33
LK5000,2026-05-18 07:20:00,67.3,80,1.19,28
LK5000,2026-05-18 07:25:00,70.0,80,1.14,106
LK5000,2026-05-18 07:30:00,73.6,80,1.09,121
LK5000,2026-05-18 07:35:00,65.6,80,1.22,102
LK5000,2026-05-18 07:40:00,73.1,80,1.09,165
LK5000,2026-05-18 07:45:00,61.4,80,1.3,113
LK5000,2026-05-18 07:50:00,58.7,80,1.36,64
LK5000,2026-05-18 07:55:00,63.9,80,1.25,50
LK5000,2026-05-18 08:00:00,33.3,80,2.4,23
LK5000,2026-05-18 08:05:00,39.0,80,2.05,15
LK5001,2026-05-18 07:00:00,69.0,80,1.16,131
LK5001,2026-05-18 07:05:00,72.3,80,1.11,120
LK5001,2026-05-18 07:10:00,66.7,80,1.2,88
LK5001,2026-05-18 07:15:00,64.9,80,1.23,18
LK5001,2026-05-18 07:20:00,67.4,80,1.19,171
LK5001,2026-05-18 07:25:00,70.0,80,1.14,142
LK5001,2026-05-18 07:30:00,59.4,80,1.35,88
LK5001,2026-05-18 07:35:00,63.0,80,1.27,180
LK5001,2026-05-18 07:40:00,74.4,80,1.08,15
LK5001,2026-05-18 07:45:00,63.5,80,1.26,12
LK5001,2026-05-18 07:50:00,66.6,80,1.2,64
LK5001,2026-05-18 07:55:00,58.4,80,1.37,56
LK5001,2026-05-18 08:00:00,32.1,80,2.49,149
LK5001,2026-05-18 08:05:00,38.9,80,2.06,111
LK5002,2026-05-18 07:00:00,30.6,40,1.31,28
LK5002,2026-05-18 07:05:00,32.3,40,1.24,166
LK5002,2026-05-18 07:10:00,34.8,40,1.15,37
LK5002,2026-05-18 07:15:00,34.2,40,1.17,118
LK5002,2026-05-18 07:20:00,31.2,40,1.28,11
LK5002,2026-05-18 07:25:00,37.2,40,1.08,7
LK5002,2026-05-18 07:30:00,29.5,40,1.36,94
LK5002,2026-05-18 07:35:00,36.7,40,1.09,175
LK5002,2026-05-18 07:40:00,37.3,40,1.07,81
LK5002,2026-05-18 07:45:00,33.0,40,1.21,137
LK5002,2026-05-18 07:50:00,34.4,40,1.16,109
LK5002,2026-05-18 07:55:00,31.7,40,1.26,68
LK5002,2026-05-18 08:00:00,19.1,40,2.09,155
LK5002,2026-05-18 08:05:00,16.4,40,2.44,22
LK5003,2026-05-18 07:00:00,35.7,40,1.12,3
LK5003,2026-05-18 07:05:00,31.1,40,1.29,55
LK5003,2026-05-18 07:10:00,35.4,40,1.13,138
LK5003,2026-05-18 07:15:00,35.9,40,1.11,40
LK5003,2026-05-18 07:20:00,35.4,40,1.13,127
LK5003,2026-05-18 07:25:00,36.7,40,1.09,153
LK5003,2026-05-18 07:30:00,34.9,40,1.15,14
LK5003,2026-05-18 07:35:00,32.7,40,1.22,63
LK5003,2026-05-18 07:40:00,31.4,40,1.27,158
LK5003,2026-05-18 07:45:00,35.0,40,1.14,93
LK5003,2026-05-18 07:50:00,32.5,40,1.23,36
LK5003,2026-05-18 07:55:00,33.1,40,1.21,175
LK5003,2026-05-18 08:00:00,18.8,40,2.13,45
LK5003,2026-05-18 08:05:00,19.1,40,2.09,121
