hour,grid_from,grid_to,trips,mode,grid_size_m
7,G10,G11,62,taxi,500
7,G12,G00,56,bike,500
7,G02,G22,445,bus,500
7,G11,G20,259,taxi,500
7,G20,G21,96,taxi,500
7,G20,G02,292,metro,500
7,G01,G02,66,bus,500
7,G01,G22,475,bus,500
7,G21,G12,227,bus,500
8,G00,G11,39,bike,500
8,G01,G21,262,taxi,500
8,G21,G01,206,taxi,500
8,G12,G10,458,taxi,500
8,G22,G11,463,bus,500
8,G00,G10,19,metro,500
8,G11,G00,274,metro,500
8,G11,G22,92,bike,500
8,G21,G00,455,bus,500
12,G00,G20,325,bus,500
12,G22,G02,428,taxi,500
12,G22,G00,80,bike,500
12,G12,G01,359,taxi,500
12,G01,G20,336,bike,500
12,G00,G10,283,bike,500
12,G01,G00,70,bike,500
12,G00,G22,116,bus,500
12,G01,G10,266,bus,500
18,G10,G22,177,metro,500
18,G02,G12,345,bus,500
18,G22,G11,283,taxi,500
18,G00,G10,20,bus,500
18,G21,G20,435,bike,500
18,G22,G21,191,metro,500
18,G20,G12,202,taxi,500
18,G22,G01,154,bus,500
18,G00,G21,234,taxi,500
