user_hash,ts,cell_lon,cell_lat,accuracy_m,cell_id,event_type
UA006AE,2026-05-18 07:00:00,120.307519,31.551944,180,CELL0001,periodic
UA006AE,2026-05-18 07:07:00,120.307519,31.551944,180,CELL0001,call
UA006AE,2026-05-18 07:14:00,120.307519,31.551944,250,CELL0001,call
UA006AE,2026-05-18 07:29:00,120.307519,31.551944,800,CELL0001,handover
UA006AE,2026-05-18 07:33:00,120.287449,31.569847,500,CELL0000,handover
UA006AE,2026-05-18 07:37:00,120.307519,31.551944,500,CELL0001,call
UA006AE,2026-05-18 07:44:00,120.299528,31.583814,180,CELL0002,periodic
UA006AE,2026-05-18 07:48:00,120.299528,31.583814,250,CELL0002,periodic
UA006AE,2026-05-18 08:03:00,120.315988,31.571597,250,CELL0004,periodic
UA006AE,2026-05-18 08:18:00,120.294414,31.580178,500,CELL0003,handover
UA006AE,2026-05-18 08:20:00,120.299528,31.583814,180,CELL0002,call
UA006AE,2026-05-18 08:35:00,120.299528,31.583814,350,CELL0002,call
U42887B,2026-05-18 07:11:00,120.307519,31.551944,180,CELL0001,handover
U42887B,2026-05-18 07:18:00,120.307519,31.551944,180,CELL0001,call
U42887B,2026-05-18 07:22:00,120.287449,31.569847,180,CELL0000,handover
U42887B,2026-05-18 07:37:00,120.287449,31.569847,250,CELL0000,handover
U42887B,2026-05-18 07:39:00,120.307519,31.551944,500,CELL0001,handover
U42887B,2026-05-18 07:41:00,120.287449,31.569847,800,CELL0000,call
U42887B,2026-05-18 07:56:00,120.294414,31.580178,250,CELL0003,periodic
U42887B,2026-05-18 07:58:00,120.299528,31.583814,180,CELL0002,call
U42887B,2026-05-18 08:13:00,120.299528,31.583814,500,CELL0002,handover
U42887B,2026-05-18 08:15:00,120.315988,31.571597,500,CELL0004,call
U42887B,2026-05-18 08:22:00,120.294414,31.580178,180,CELL0003,handover
U42887B,2026-05-18 08:29:00,120.299528,31.583814,350,CELL0002,handover
UF7DA25,2026-05-18 07:22:00,120.287449,31.569847,800,CELL0000,call
UF7DA25,2026-05-18 07:29:00,120.287449,31.569847,250,CELL0000,periodic
UF7DA25,2026-05-18 07:36:00,120.287449,31.569847,250,CELL0000,periodic
UF7DA25,2026-05-18 07:43:00,120.287449,31.569847,800,CELL0000,call
UF7DA25,2026-05-18 07:45:00,120.307519,31.551944,500,CELL0001,handover
UF7DA25,2026-05-18 07:49:00,120.307519,31.551944,350,CELL0001,periodic
UF7DA25,2026-05-18 07:56:00,120.299528,31.583814,800,CELL0002,handover
UF7DA25,2026-05-18 07:58:00,120.315988,31.571597,180,CELL0004,handover
UF7DA25,2026-05-18 08:05:00,120.299528,31.583814,250,CELL0002,call
UF7DA25,2026-05-18 08:20:00,120.315988,31.571597,250,CELL0004,periodic
UF7DA25,2026-05-18 08:24:00,120.299528,31.583814,500,CELL0002,call
UF7DA25,2026-05-18 08:28:00,120.294414,31.580178,800,CELL0003,handover
U63758A,2026-05-18 07:33:00,120.287449,31.569847,800,CELL0000,periodic
U63758A,2026-05-18 07:37:00,120.307519,31.551944,350,CELL0001,periodic
U63758A,2026-05-18 07:39:00,120.307519,31.551944,500,CELL0001,call
U63758A,2026-05-18 07:41:00,120.287449,31.569847,350,CELL0000,periodic
U63758A,2026-05-18 07:45:00,120.307519,31.551944,800,CELL0001,call
U63758A,2026-05-18 07:49:00,120.287449,31.569847,180,CELL0000,call
U63758A,2026-05-18 07:53:00,120.299528,31.583814,800,CELL0002,periodic
U63758A,2026-05-18 07:57:00,120.315988,31.571597,500,CELL0004,call
U63758A,2026-05-18 07:59:00,120.294414,31.580178,350,CELL0003,periodic
U63758A,2026-05-18 08:03:00,120.294414,31.580178,350,CELL0003,call
U63758A,2026-05-18 08:05:00,120.294414,31.580178,800,CELL0003,handover
U63758A,2026-05-18 08:12:00,120.299528,31.583814,350,CELL0002,periodic
