taxi_id,timestamp,lon,lat,passenger,speed_kmh,heading
京A000,2008-02-02 12:00:00,116.399983,39.900058,1,50.2,110.9
京A001,2008-02-02 12:01:00,116.400174,39.899763,0,20.9,268.6
京A002,2008-02-02 12:02:00,116.400029,39.900081,0,20.6,294.9
京A003,2008-02-02 12:03:00,116.399830,39.899329,1,12.8,117.9
京A004,2008-02-02 12:04:00,116.399213,39.899797,0,46.5,121.2
京A000,2008-02-02 12:05:00,116.399291,39.899437,0,16.3,120.6
京A001,2008-02-02 12:06:00,116.399790,39.898670,1,48.0,196.6
京A002,2008-02-02 12:07:00,116.400494,39.899299,0,52.8,301.5
京A003,2008-02-02 12:08:00,116.400141,39.899169,0,31.8,206.2
京A004,2008-02-02 12:09:00,116.399654,39.898379,1,55.6,229.1
京A000,2008-02-02 12:10:00,116.400145,39.898068,0,55.0,1.7
京A001,2008-02-02 12:11:00,116.400209,39.897740,0,48.5,166.7
京A002,2008-02-02 12:12:00,116.400440,39.898452,1,35.7,126.2
京A003,2008-02-02 12:13:00,116.399841,39.898293,0,59.9,76.1
京A004,2008-02-02 12:14:00,116.400024,39.898230,0,17.9,12.6
京A000,2008-02-02 12:15:00,116.399812,39.898647,1,40.2,332.2
京A001,2008-02-02 12:16:00,116.399732,39.899185,0,31.0,28.1
京A002,2008-02-02 12:17:00,116.399834,39.898528,0,1.9,45.5
京A003,2008-02-02 12:18:00,116.399397,39.897749,0,2.4,77.2
京A004,2008-02-02 12:19:00,116.399952,39.898074,0,41.2,353.9
京A000,2008-02-02 12:20:00,116.400033,39.898574,0,12.2,317.8
京A001,2008-02-02 12:21:00,116.400378,39.899006,1,21.8,80.0
京A002,2008-02-02 12:22:00,116.400677,39.898752,0,59.6,210.0
京A003,2008-02-02 12:23:00,116.400478,39.899303,0,16.0,195.4
京A004,2008-02-02 12:24:00,116.399937,39.899164,1,37.3,14.0
京A000,2008-02-02 12:25:00,116.400737,39.899151,0,10.5,38.2
京A001,2008-02-02 12:26:00,116.400129,39.899570,0,19.5,113.1
京A002,2008-02-02 12:27:00,116.399467,39.898853,1,17.0,315.1
京A003,2008-02-02 12:28:00,116.398900,39.898951,0,53.5,22.5
京A004,2008-02-02 12:29:00,116.398569,39.898500,0,59.5,238.9
京A000,2008-02-02 12:30:00,116.398502,39.899062,0,3.0,304.3
京A001,2008-02-02 12:31:00,116.397861,39.898434,0,59.7,113.5
京A002,2008-02-02 12:32:00,116.397077,39.898615,0,33.1,47.0
京A003,2008-02-02 12:33:00,116.396397,39.897855,1,28.5,75.9
京A004,2008-02-02 12:34:00,116.395835,39.897162,0,37.1,121.3
京A000,2008-02-02 12:35:00,116.396157,39.896938,0,10.8,112.1
京A001,2008-02-02 12:36:00,116.396841,39.896238,1,24.9,270.5
京A002,2008-02-02 12:37:00,116.396098,39.895584,0,40.4,308.0
京A003,2008-02-02 12:38:00,116.395702,39.895227,0,19.8,203.1
京A004,2008-02-02 12:39:00,116.395801,39.894546,1,16.5,264.4
