taxi_id,timestamp,lon,lat,direction,speed_kmh,accel_x,accel_y,accel_z,yaw
W000,2020-07-18 12:00:00,114.060090,22.540461,121,25.3,1202,315,120,343
W001,2020-07-18 12:01:00,114.059624,22.540277,121,19.2,1202,315,120,343
W002,2020-07-18 12:02:00,114.058916,22.539992,121,17.7,1202,315,120,343
W003,2020-07-18 12:03:00,114.058403,22.539382,121,14.1,1202,315,120,343
W000,2020-07-18 12:04:00,114.058264,22.539799,121,34.4,1202,315,120,343
W001,2020-07-18 12:05:00,114.058334,22.539391,121,14.1,1202,315,120,343
W002,2020-07-18 12:06:00,114.057864,22.540003,121,21.3,1202,315,120,343
W003,2020-07-18 12:07:00,114.058047,22.540085,121,21.3,1202,315,120,343
W000,2020-07-18 12:08:00,114.057788,22.539325,121,27.0,1202,315,120,343
W001,2020-07-18 12:09:00,114.057117,22.539965,121,38.3,1202,315,120,343
W002,2020-07-18 12:10:00,114.056669,22.540060,121,39.7,1202,315,120,343
W003,2020-07-18 12:11:00,114.056022,22.539983,121,12.6,1202,315,120,343
W000,2020-07-18 12:12:00,114.055448,22.539770,121,19.1,1202,315,120,343
W001,2020-07-18 12:13:00,114.055199,22.540059,121,36.4,1202,315,120,343
W002,2020-07-18 12:14:00,114.055920,22.540437,121,13.2,1202,315,120,343
W003,2020-07-18 12:15:00,114.055336,22.540720,121,16.8,1202,315,120,343
W000,2020-07-18 12:16:00,114.055386,22.541055,121,31.9,1202,315,120,343
W001,2020-07-18 12:17:00,114.055127,22.541099,121,28.3,1202,315,120,343
W002,2020-07-18 12:18:00,114.054891,22.541196,121,20.1,1202,315,120,343
W003,2020-07-18 12:19:00,114.055161,22.540563,121,33.8,1202,315,120,343
W000,2020-07-18 12:20:00,114.054958,22.541144,121,28.4,1202,315,120,343
W001,2020-07-18 12:21:00,114.054556,22.540959,121,13.1,1202,315,120,343
W002,2020-07-18 12:22:00,114.054069,22.541102,121,24.9,1202,315,120,343
W003,2020-07-18 12:23:00,114.054377,22.541047,121,34.4,1202,315,120,343
W000,2020-07-18 12:24:00,114.054563,22.540491,121,11.2,1202,315,120,343
W001,2020-07-18 12:25:00,114.054564,22.540118,121,21.2,1202,315,120,343
W002,2020-07-18 12:26:00,114.055277,22.539793,121,35.8,1202,315,120,343
W003,2020-07-18 12:27:00,114.055939,22.540117,121,31.2,1202,315,120,343
W000,2020-07-18 12:28:00,114.055201,22.539894,121,36.0,1202,315,120,343
W001,2020-07-18 12:29:00,114.055174,22.539360,121,11.0,1202,315,120,343
W002,2020-07-18 12:30:00,114.054425,22.539996,121,35.8,1202,315,120,343
W003,2020-07-18 12:31:00,114.055030,22.540419,121,29.2,1202,315,120,343
W000,2020-07-18 12:32:00,114.054916,22.540305,121,15.9,1202,315,120,343
W001,2020-07-18 12:33:00,114.055547,22.540428,121,10.7,1202,315,120,343
W002,2020-07-18 12:34:00,114.055601,22.539773,121,21.0,1202,315,120,343
W003,2020-07-18 12:35:00,114.056290,22.540131,121,15.8,1202,315,120,343
W000,2020-07-18 12:36:00,114.057036,22.539965,121,13.7,1202,315,120,343
W001,2020-07-18 12:37:00,114.057614,22.540283,121,29.2,1202,315,120,343
W002,2020-07-18 12:38:00,114.057295,22.540812,121,31.7,1202,315,120,343
W003,2020-07-18 12:39:00,114.057848,22.540986,121,20.1,1202,315,120,343
