taxi_id,timestamp,lon,lat,passenger,speed_kmh
S000,2014-10-22 12:00:00,114.060667,22.539408,0,10.6
S001,2014-10-22 12:01:00,114.060259,22.539604,0,36.8
S002,2014-10-22 12:02:00,114.061033,22.540040,0,16.4
S003,2014-10-22 12:03:00,114.061731,22.540471,0,39.4
S004,2014-10-22 12:04:00,114.061699,22.540195,0,24.7
S005,2014-10-22 12:05:00,,,0,0.0
S000,2014-10-22 12:06:00,114.061684,22.540736,0,33.3
S001,2014-10-22 12:07:00,114.061777,22.540730,0,35.6
S002,2014-10-22 12:08:00,114.062075,22.540505,0,21.9
S003,2014-10-22 12:09:00,114.062139,22.539738,0,8.1
S004,2014-10-22 12:10:00,114.061528,22.539019,0,13.7
S005,2014-10-22 12:11:00,114.061826,22.538534,0,26.0
S000,2014-10-22 12:12:00,,,0,0.0
S001,2014-10-22 12:13:00,114.062069,22.538224,0,37.0
S002,2014-10-22 12:14:00,114.062775,22.538582,0,20.8
S003,2014-10-22 12:15:00,114.062335,22.539140,0,35.4
S004,2014-10-22 12:16:00,114.062834,22.538874,0,14.0
S005,2014-10-22 12:17:00,114.063377,22.539638,0,24.1
S000,2014-10-22 12:18:00,114.062666,22.539074,0,12.6
S001,2014-10-22 12:19:00,114.063187,22.538956,0,27.9
S002,2014-10-22 12:20:00,114.063898,22.539157,0,32.8
S003,2014-10-22 12:21:00,114.064622,22.539191,0,30.6
S004,2014-10-22 12:22:00,114.065176,22.538813,0,13.5
S005,2014-10-22 12:23:00,,,0,0.0
S000,2014-10-22 12:24:00,114.064955,22.538401,0,27.3
S001,2014-10-22 12:25:00,114.065363,22.537674,0,35.5
S002,2014-10-22 12:26:00,114.066063,22.538146,0,30.0
S003,2014-10-22 12:27:00,114.066028,22.537368,0,15.4
S004,2014-10-22 12:28:00,114.066357,22.537962,0,28.7
S005,2014-10-22 12:29:00,114.066360,22.538290,0,25.2
S000,2014-10-22 12:30:00,114.066567,22.537924,0,28.0
S001,2014-10-22 12:31:00,,,0,0.0
S002,2014-10-22 12:32:00,114.067999,22.537390,0,19.4
S003,2014-10-22 12:33:00,114.067643,22.537084,0,15.0
S004,2014-10-22 12:34:00,114.068292,22.537183,0,15.7
S005,2014-10-22 12:35:00,114.068409,22.537702,0,16.7
S000,2014-10-22 12:36:00,114.068041,22.537547,0,10.4
S001,2014-10-22 12:37:00,114.067383,22.536870,0,17.5
S002,2014-10-22 12:38:00,114.066956,22.536466,0,7.1
S003,2014-10-22 12:39:00,114.067616,22.536558,0,39.3
