taxi_id	, timestamp	, lon	, lat	, direction	, speed_kmh
W000	, 2020-07-18 12:00:00	, 120.299680	, 31.550033	, 121	, 2.5
W001	, 2020-07-18 12:01:00	, 120.300248	, 31.549474	, 121	, 13.4
W002	, 2020-07-18 12:02:00	, 120.300749	, 31.549711	, 121	, 35.7
W003	, 2020-07-18 12:03:00	, 120.300416	, 31.549397	, 121	, 1.7
W000	, 2020-07-18 12:04:00	, 120.299860	, 31.549000	, 121	, 6.9
W001	, 2020-07-18 12:05:00	, 120.300152	, 31.548687	, 121	, 23.8
W002	, 2020-07-18 12:06:00	, 120.299487	, 31.547911	, 121	, 11.4
W003	, 2020-07-18 12:07:00	, 120.299507	, 31.547984	, 121	, 4.2
W000	, 2020-07-18 12:08:00	, 120.299004	, 31.547788	, 121	, 33.5
W001	, 2020-07-18 12:09:00	, 120.299612	, 31.547052	, 121	, 1.3
W002	, 2020-07-18 12:10:00	, 120.299649	, 31.546382	, 121	, 29.4
W003	, 2020-07-18 12:11:00	, 120.300244	, 31.546546	, 121	, 6.4
W000	, 2020-07-18 12:12:00	, 120.300485	, 31.546479	, 121	, 39.1
W001	, 2020-07-18 12:13:00	, 120.300108	, 31.546441	, 121	, 34.1
W002	, 2020-07-18 12:14:00	, 120.299895	, 31.546143	, 121	, 36.9
W003	, 2020-07-18 12:15:00	, 120.300365	, 31.546495	, 121	, 25.2
W000	, 2020-07-18 12:16:00	, 120.300000	, 31.547038	, 121	, 18.9
W001	, 2020-07-18 12:17:00	, 120.300142	, 31.547571	, 121	, 27.8
W002	, 2020-07-18 12:18:00	, 120.299454	, 31.547876	, 121	, 16.9
W003	, 2020-07-18 12:19:00	, 120.298839	, 31.548338	, 121	, 21.1
W000	, 2020-07-18 12:20:00	, 120.298479	, 31.548199	, 121	, 22.3
W001	, 2020-07-18 12:21:00	, 120.299050	, 31.548050	, 121	, 24.7
W002	, 2020-07-18 12:22:00	, 120.298668	, 31.547952	, 121	, 35.0
W003	, 2020-07-18 12:23:00	, 120.298797	, 31.547407	, 121	, 16.2
W000	, 2020-07-18 12:24:00	, 120.299270	, 31.546646	, 121	, 21.1
W001	, 2020-07-18 12:25:00	, 120.298534	, 31.546086	, 121	, 35.0
W002	, 2020-07-18 12:26:00	, 120.298850	, 31.545693	, 121	, 33.3
W003	, 2020-07-18 12:27:00	, 120.298564	, 31.546310	, 121	, 37.2
W000	, 2020-07-18 12:28:00	, 120.298852	, 31.546685	, 121	, 8.1
W001	, 2020-07-18 12:29:00	, 120.298522	, 31.546867	, 121	, 4.6
W002	, 2020-07-18 12:30:00	, 120.297813	, 31.547287	, 121	, 39.1
W003	, 2020-07-18 12:31:00	, 120.297148	, 31.547028	, 121	, 32.0
W000	, 2020-07-18 12:32:00	, 120.296554	, 31.547568	, 121	, 0.7
W001	, 2020-07-18 12:33:00	, 120.296526	, 31.547197	, 121	, 39.4
W002	, 2020-07-18 12:34:00	, 120.297143	, 31.546993	, 121	, 7.8
W003	, 2020-07-18 12:35:00	, 120.297307	, 31.546774	, 121	, 27.5
W000	, 2020-07-18 12:36:00	, 120.297195	, 31.546305	, 121	, 15.1
W001	, 2020-07-18 12:37:00	, 120.297295	, 31.545793	, 121	, 29.8
W002	, 2020-07-18 12:38:00	, 120.297013	, 31.546396	, 121	, 16.0
W003	, 2020-07-18 12:39:00	, 120.297786	, 31.545968	, 121	, 37.9
