taxi_id,timestamp,lon,lat,direction,speed_kmh
W000,2020-07-18 12:00:00,114.059664,22.540760,121,29.3
W001,2020-07-18 12:01:00,114.059639,22.540095,121,7.4
W002,2020-07-18 12:02:00,114.060246,22.540564,121,11.0
W003,2020-07-18 12:03:00,114.059911,22.541285,121,23.4
W000,2020-07-18 12:04:00,114.059898,22.541679,121,14.8
W001,2020-07-18 12:05:00,114.060421,22.542225,121,21.0
W002,2020-07-18 12:06:00,114.060416,22.541786,121,18.9
W003,2020-07-18 12:07:00,114.060505,22.542302,121,3.9
W000,2020-07-18 12:08:00,114.059809,22.543074,121,22.8
W001,2020-07-18 12:09:00,114.060580,22.542390,121,38.8
W002,2020-07-18 12:10:00,999.990000,22.542696,121,12.0
W003,2020-07-18 12:11:00,114.061109,199.990000,121,12.0
W000,2020-07-18 12:12:00,114.061289,22.542704,121,30.8
W001,2020-07-18 12:13:00,114.061625,22.542450,121,18.0
W002,2020-07-18 12:14:00,114.061197,22.541935,121,5.5
W003,2020-07-18 12:15:00,114.061113,22.542439,121,37.4
W000,2020-07-18 12:16:00,114.061376,22.541654,121,30.8
W001,2020-07-18 12:17:00,114.060952,22.541531,121,11.3
W002,2020-07-18 12:18:00,114.060684,22.542091,121,37.6
W003,2020-07-18 12:19:00,114.060754,22.542665,121,37.5
W000,2020-07-18 12:20:00,114.061021,22.542561,121,6.1
W001,2020-07-18 12:21:00,114.060992,22.543332,121,18.6
W002,2020-07-18 12:22:00,114.061037,22.542610,121,17.8
W003,2020-07-18 12:23:00,114.060703,22.542422,121,36.4
W000,2020-07-18 12:24:00,114.060048,22.541902,121,37.5
W001,2020-07-18 12:25:00,114.059606,22.542237,121,35.1
W002,2020-07-18 12:26:00,114.059605,22.542378,121,29.0
W003,2020-07-18 12:27:00,114.059923,22.541838,121,18.3
W000,2020-07-18 12:28:00,114.059431,82.541280,121,12.0
W001,2020-07-18 12:29:00,114.060040,22.540964,121,39.9
W002,2020-07-18 12:30:00,114.060656,22.541459,121,27.4
W003,2020-07-18 12:31:00,114.059950,22.541242,121,14.3
W000,2020-07-18 12:32:00,114.059791,22.541354,121,22.0
W001,2020-07-18 12:33:00,114.060076,22.540919,121,14.3
W002,2020-07-18 12:34:00,114.059463,22.540583,121,30.8
W003,2020-07-18 12:35:00,114.059234,22.540446,121,38.1
W000,2020-07-18 12:36:00,114.058697,22.540679,121,12.2
W001,2020-07-18 12:37:00,114.059365,22.540132,121,20.6
W002,2020-07-18 12:38:00,114.058691,22.539709,121,14.0
W003,2020-07-18 12:39:00,114.059166,22.539176,121,34.9
