taxi_id,timestamp,lon,lat,passenger,speed_kmh
S000,2014-10-22 12:00:00,114.060755,22.539439,1,20.6
S001,2014-10-22 12:01:00,114.060465,22.539393,0,15.6
S002,2014-10-22 12:02:00,114.060028,22.538666,0,33.5
S003,2014-10-22 12:03:00,114.059971,22.538430,0,21.5
S004,2014-10-22 12:04:00,114.059400,22.538558,1,28.8
S005,2014-10-22 12:05:00,114.059797,22.539265,0,6.0
S000,2014-10-22 12:06:00,114.060588,22.538871,,25.5
S001,2014-10-22 12:07:00,114.060793,22.539306,0,38.5
S002,2014-10-22 12:08:00,114.060753,22.538629,1,31.9
S003,2014-10-22 12:09:00,114.060445,22.538612,0,33.1
S004,2014-10-22 12:10:00,114.060303,22.538635,0,0.3
S005,2014-10-22 12:11:00,114.060722,22.538767,0,23.6
S000,2014-10-22 12:12:00,114.060474,22.539059,1,34.6
S001,2014-10-22 12:13:00,114.061179,22.538833,0,24.8
S002,2014-10-22 12:14:00,114.061548,22.539489,0,1.6
S003,2014-10-22 12:15:00,114.061843,22.539266,0,14.5
S004,2014-10-22 12:16:00,114.062313,22.538664,1,27.5
S005,2014-10-22 12:17:00,114.062026,22.539127,,6.9
S000,2014-10-22 12:18:00,114.062542,22.539286,0,38.3
S001,2014-10-22 12:19:00,114.062351,22.538532,0,16.0
S002,2014-10-22 12:20:00,114.062134,22.539147,1,7.1
S003,2014-10-22 12:21:00,114.061760,22.539549,0,15.6
S004,2014-10-22 12:22:00,114.062283,22.539870,0,8.1
S005,2014-10-22 12:23:00,114.062482,22.539514,0,28.1
S000,2014-10-22 12:24:00,114.061682,22.539241,1,35.8
S001,2014-10-22 12:25:00,114.061374,22.539436,0,13.4
S002,2014-10-22 12:26:00,114.061799,22.538804,0,27.0
S003,2014-10-22 12:27:00,114.061534,22.538260,0,23.3
S004,2014-10-22 12:28:00,114.061544,22.537660,1,20.6
S005,2014-10-22 12:29:00,114.061122,22.537374,,12.5
S000,2014-10-22 12:30:00,114.061631,22.537046,0,11.5
S001,2014-10-22 12:31:00,114.061445,22.537639,0,17.0
S002,2014-10-22 12:32:00,114.061763,22.537127,1,14.1
S003,2014-10-22 12:33:00,114.061435,22.536521,0,9.1
S004,2014-10-22 12:34:00,114.061064,22.536408,0,17.3
S005,2014-10-22 12:35:00,114.060854,22.536679,0,7.4
S000,2014-10-22 12:36:00,114.061383,22.536441,1,11.5
S001,2014-10-22 12:37:00,114.062092,22.536267,0,19.1
S002,2014-10-22 12:38:00,114.061833,22.536336,0,8.7
S003,2014-10-22 12:39:00,114.061877,22.536608,0,13.2
