taxi_id,timestamp,lon,lat
T0000,2008-02-02 12:00:00,116.415676,39.893333
T0001,2008-02-02 12:300:00,116.405245,39.884950
T0002,2008-02-02 12:600:00,116.390189,39.892791
T0003,2008-02-02 12:1200:00,116.405669,39.882315
T0004,2008-02-02 12:1500:00,116.419630,39.900571
T0005,2008-02-02 12:2100:00,116.418138,39.917804
T0006,2008-02-02 12:2220:00,116.427258,39.919385
T0007,2008-02-02 12:2820:00,116.407860,39.919618
T0000,2008-02-02 12:3420:00,116.395549,39.903389
T0001,2008-02-02 12:4020:00,116.413100,39.893139
T0002,2008-02-02 12:4320:00,116.410647,39.873418
T0003,2008-02-02 12:4620:00,116.426355,39.865698
T0004,2008-02-02 12:4920:00,116.407335,39.854160
T0005,2008-02-02 12:5040:00,116.418866,39.847652
T0006,2008-02-02 12:5340:00,116.432556,39.861328
T0007,2008-02-02 12:5640:00,116.436768,39.860679
T0000,2008-02-02 12:6240:00,116.450874,39.870999
T0001,2008-02-02 12:6360:00,116.455454,39.856249
T0002,2008-02-02 12:6660:00,116.467992,39.847305
T0003,2008-02-02 12:6960:00,116.458089,39.841399
