taxi_id,timestamp,lon,lat,passenger,speed_kmh
S000,2020-07-18 12:00:00,114.059611,22.540366,0,28.8
S001,07/18/2020 12:01,114.058970,22.540155,0,13.2
S002,1595049620,114.059752,22.540399,0,31.3
S003,2020/7/18 12:03,114.060367,22.540012,0,34.9
S004,2020-07-18 12:04:00,114.060116,22.540075,0,3.9
S005,07/18/2020 12:05,114.060418,22.539750,0,3.3
S000,1595049660,114.060682,22.539075,0,27.1
S001,2020/7/18 12:07,114.060075,22.539613,0,25.9
S002,2020-07-18 12:08:00,114.059621,22.539707,0,16.1
S003,07/18/2020 12:09,114.060358,22.538989,0,3.0
S004,1595049700,114.061055,22.539274,0,33.8
S005,2020/7/18 12:11,114.060692,22.538817,0,33.3
S000,2020-07-18 12:12:00,114.060145,22.538347,0,7.7
S001,07/18/2020 12:13,114.059370,22.539094,0,29.1
S002,1595049740,114.059317,22.539627,0,38.5
S003,2020/7/18 12:15,114.059647,22.539648,0,32.7
S004,2020-07-18 12:16:00,114.059548,22.538879,0,24.9
S005,07/18/2020 12:17,114.059182,22.539183,0,36.5
S000,1595049780,114.059735,22.539306,0,18.3
S001,2020/7/18 12:19,114.059862,22.539372,0,17.6
S002,2020-07-18 12:20:00,114.060637,22.539184,0,24.6
S003,07/18/2020 12:21,114.060434,22.538610,0,17.1
S004,1595049820,114.061215,22.539012,0,37.4
S005,2020/7/18 12:23,114.061972,22.539637,0,0.4
S000,2020-07-18 12:24:00,114.062197,22.539103,0,25.2
S001,07/18/2020 12:25,114.061752,22.538882,0,32.4
S002,1595049860,114.061507,22.538899,0,12.7
S003,2020/7/18 12:27,114.061557,22.538876,0,31.4
S004,2020-07-18 12:28:00,114.061793,22.538594,0,38.7
S005,07/18/2020 12:29,114.062303,22.538037,0,10.6
S000,1595049900,114.061982,22.538116,0,29.3
S001,2020/7/18 12:31,114.061814,22.538874,0,17.3
S002,2020-07-18 12:32:00,114.061259,22.538539,0,16.5
S003,07/18/2020 12:33,114.062052,22.538390,0,12.0
S004,1595049940,114.062220,22.537956,0,38.0
S005,2020/7/18 12:35,114.061446,22.538148,0,10.0
