taxi_id,timestamp,lon,lat,passenger,speed_kmh
S000,2014-10-22 12:00:00,114.060498,22.540726,0,37.5
S001,2014-10-22 12:01:00,114.060890,22.541367,0,0.0
S002,2014-10-22 12:02:00,114.060434,22.541181,0,0.0
S003,2014-10-22 12:03:00,114.060842,22.541067,0,0.0
S004,2014-10-22 12:04:00,114.060380,22.541437,0,0.0
S005,2014-10-22 12:05:00,114.059635,22.541850,0,34.5
S000,2014-10-22 12:06:00,114.059422,22.541886,0,0.0
S001,2014-10-22 12:07:00,114.060166,22.541549,0,0.0
S002,2014-10-22 12:08:00,114.060724,22.541061,0,0.0
S003,2014-10-22 12:09:00,114.060603,22.540429,0,0.0
S004,2014-10-22 12:10:00,114.061124,22.539701,0,46.5
S005,2014-10-22 12:11:00,114.060923,22.539408,0,0.0
S000,2014-10-22 12:12:00,114.060380,22.540011,0,0.0
S001,2014-10-22 12:13:00,114.060260,22.539765,0,0.0
S002,2014-10-22 12:14:00,114.059645,22.539416,0,0.0
S003,2014-10-22 12:15:00,114.059494,22.538924,0,26.6
S004,2014-10-22 12:16:00,114.059832,22.538487,0,0.0
S005,2014-10-22 12:17:00,114.059050,22.538676,0,0.0
S000,2014-10-22 12:18:00,114.058965,22.539055,0,0.0
S001,2014-10-22 12:19:00,114.059323,22.539206,0,0.0
S002,2014-10-22 12:20:00,114.059174,22.538842,0,36.6
S003,2014-10-22 12:21:00,114.059914,22.538660,0,0.0
S004,2014-10-22 12:22:00,114.059926,22.538801,0,0.0
S005,2014-10-22 12:23:00,114.059463,22.538053,0,0.0
S000,2014-10-22 12:24:00,114.060040,22.538674,0,0.0
S001,2014-10-22 12:25:00,114.059709,22.539006,0,23.3
S002,2014-10-22 12:26:00,114.059604,22.538813,0,0.0
S003,2014-10-22 12:27:00,114.059084,22.538451,0,0.0
S004,2014-10-22 12:28:00,114.059644,22.538743,0,0.0
S005,2014-10-22 12:29:00,114.059004,22.538530,0,0.0
S000,2014-10-22 12:30:00,114.058999,22.539296,0,37.5
S001,2014-10-22 12:31:00,114.058898,22.539134,0,0.0
S002,2014-10-22 12:32:00,114.059388,22.539126,0,0.0
S003,2014-10-22 12:33:00,114.058654,22.538818,0,0.0
S004,2014-10-22 12:34:00,114.058111,22.539527,0,0.0
S005,2014-10-22 12:35:00,114.057657,22.539686,0,41.5
S000,2014-10-22 12:36:00,114.058245,22.540337,0,0.0
S001,2014-10-22 12:37:00,114.057483,22.540022,0,0.0
S002,2014-10-22 12:38:00,114.057148,22.540057,0,0.0
S003,2014-10-22 12:39:00,114.057899,22.539276,0,0.0
