id,经度,纬度,采集时间,方向,速度,纵向加速度,横向加速度,垂直加速度,横摆角速度
0086627503166932	,120.5780533,31.8061016,2020-07-18 08:00:00,0,0,-9,0,1,0
0086627503166824	,120.2022866,31.851275,2020-07-18 08:00:00,0,15,-9,0,0,0
0086860703222144	,120.276585,31.63628,2020-07-18 08:00:00,121,80,1202,315,120,343
0086860703219585	,120.2429833,31.8780983,2020-07-18 08:00:00,121,80,1202,315,120,343
0086627503130734	,119.7823116,31.4171383,2020-07-18 08:00:00,0,10,-9,0,1,0
0086860703205373	,120.0465133,31.5301083,2020-07-18 08:00:00,121,80,1202,315,120,343
0086860703208127	,120.26463,31.47631,2020-07-18 08:00:00,121,80,1202,315,120,343
0086860703195423	,120.3243366,31.861765,2020-07-18 08:00:01,121,80,1202,315,120,343
0086627503166932	,120.5780533,31.8061016,2020-07-18 08:00:01,0,0,-9,0,1,0
0086860703222719	,120.27105,31.907325,2020-07-18 08:00:01,121,80,1202,315,120,343
0086627503167105	,120.38205,31.8680616,2020-07-18 08:00:01,0,18,-9,0,1,0
0086627503167026	,120.2451083,31.44931,2020-07-18 08:00:01,0,15,-9,0,1,0
0086860703224070	,121.72358,31.73796,2020-07-18 08:00:01,121,80,1202,315,120,343
0086627503166977	,120.50648,31.8030816,2020-07-18 08:00:01,0,0,-9,1,0,0
0086627503167373	,120.4013649,31.774605,2020-07-18 08:00:01,0,0,-9,0,3,0
0086860703231699	,120.3365183,31.4993816,2020-07-18 08:00:01,121,80,1202,315,120,343
0086860703222023	,120.167365,31.5789216,2020-07-18 08:00:01,121,80,1202,315,120,343
0086860703232980	,119.1839833,30.9421366,2020-07-18 08:00:01,121,80,1202,315,120,343
0086860703221361	,120.1348766,31.65976,2020-07-18 08:00:01,121,80,1202,315,120,343
0086860703228132	,120.2937716,31.6037583,2020-07-18 08:00:01,121,80,1202,315,120,343
0086860703234992	,120.30483,31.9189983,2020-07-18 08:00:01,121,80,1202,315,120,343
0086860703222621	,112.44532,34.82591,2020-07-18 08:00:01,121,80,1202,315,120,343
0086860703207634	,120.2944716,31.8438933,2020-07-18 08:00:01,121,80,1202,315,120,343
0086860703197721	,119.8189433,29.3666066,2020-07-18 08:00:01,121,80,1202,315,120,343
0086860703208127	,120.2644633,31.4763183,2020-07-18 08:00:01,121,80,1202,315,120,343
0086860703197545	,120.2823333,31.5839799,2020-07-18 08:00:01,121,80,1202,315,120,343
0086860703222101	,120.4828066,31.59903,2020-07-18 08:00:01,121,80,1202,315,120,343
0086860703221154	,120.08618,31.566745,2020-07-18 08:00:01,121,80,1202,315,120,343
0086627503166932	,120.5780533,31.8061016,2020-07-18 08:00:02,0,0,-9,0,1,0
0086860703232889	,120.3116216,31.4864633,2020-07-18 08:00:02,121,80,1202,315,120,343
0086627503166824	,120.2021283,31.8513,2020-07-18 08:00:02,0,14,-11,0,1,0
0086627503167105	,120.382245,31.8681083,2020-07-18 08:00:02,0,18,-9,0,1,0
0086627503167026	,120.24527,31.449335,2020-07-18 08:00:02,0,15,-8,0,2,0
0086627503166977	,120.50648,31.8030816,2020-07-18 08:00:02,0,0,-9,1,0,0
0086860703231890	,120.4459333,31.559125,2020-07-18 08:00:02,121,80,1202,315,120,343
0086627503167373	,120.4013649,31.774605,2020-07-18 08:00:02,0,0,-8,0,3,0
0086860703231699	,120.3365583,31.499265,2020-07-18 08:00:02,121,80,1202,315,120,343
0086860703230356	,120.4639383,31.5968766,2020-07-18 08:00:02,121,80,1202,315,120,343
0086627503130734	,119.7822116,31.4171833,2020-07-18 08:00:02,0,11,-9,0,1,0
0086860703197869	,120.305145,31.6334016,2020-07-18 08:00:02,121,80,1202,315,120,343
0086860703228651	,120.232865,31.414405,2020-07-18 08:00:02,121,80,1202,315,120,343
0086860703231920	,120.26926,31.81319,2020-07-18 08:00:02,121,80,1202,315,120,343
0086860703232958	,120.3215316,31.5966599,2020-07-18 08:00:02,121,80,1202,315,120,343
0086860703222205	,120.496775,31.67109,2020-07-18 08:00:02,121,80,1202,315,120,343
0086860703231677	,120.2961766,31.4602266,2020-07-18 08:00:02,121,80,1202,315,120,343
0086860703197938	,120.401355,31.5925483,2020-07-18 08:00:02,121,80,1202,315,120,343
0086860703210358	,120.29408,31.6345416,2020-07-18 08:00:02,121,80,1202,315,120,343
0086860703208127	,120.2642933,31.4763249,2020-07-18 08:00:02,121,80,1202,315,120,343
0086860703206341	,120.3151066,31.543425,2020-07-18 08:00:02,121,80,1202,315,120,343
0086860703197545	,120.28226,31.5838899,2020-07-18 08:00:02,121,80,1202,315,120,343
